OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
"Agents and business managers of artists, performers,",2.0,36.0,14.0,13.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,OTHER,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,LIBERAL,$40000 TO 49999
"Managers, all other",0.0,29.0,16.0,,20.0,BACHELOR,,GRADUATE,,,,,,MALE,BLACK,TOWN LT 50000,PACIFIC,MOTHER,YES,,YES,BOTH IN U.S,2.0,SLIGHTLY LIBERAL,$8 000 TO 9 999
Web developers,2.0,29.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,MOTHER ONLY,1.0,CONSERVATIVE,$40000 TO 49999
Computer support specialists,2.0,25.0,16.0,20.0,20.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,LIBERAL,$75000 TO $89999
"Bookkeeping, accounting, and auditing clerks",2.0,35.0,16.0,17.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,4.0,CONSERVATIVE,$110000 OR OVER
Postsecondary teachers,2.0,27.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,MALE,OTHER,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER,NO,,NO,NEITHER IN U.S,4.0,,$25000 TO 29999
Postsecondary teachers,1.0,23.0,17.0,13.0,15.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$7 000 TO 7 999
Cleaners of vehicles and equipment,5.0,22.0,14.0,10.0,12.0,JUNIOR COLLEGE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,OTHER,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,MODERATE,$30000 TO 34999
Designers,3.0,24.0,16.0,14.0,,BACHELOR,JUNIOR COLLEGE,,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,FATHER,,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$30000 TO 34999
Secondary school teachers,2.0,37.0,18.0,10.0,12.0,GRADUATE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
"Food and tobacco roasting, baking, and drying machine operators and tenders",1.0,27.0,16.0,14.0,14.0,BACHELOR,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,FEMALE,OTHER,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$10000 TO 12499
Childcare workers,1.0,37.0,17.0,12.0,12.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,CONSERVATIVE,$20000 TO 22499
Clinical laboratory technologists and technicians,3.0,35.0,16.0,11.0,12.0,HIGH SCHOOL,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,OTHER,"COUNTRY,NONFARM",FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$40000 TO 49999
Psychologists,5.0,40.0,20.0,18.0,18.0,GRADUATE,GRADUATE,GRADUATE,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,2.0,LIBERAL,$110000 OR OVER
"First-line supervisors of protective service workers, all other",4.0,40.0,16.0,,20.0,BACHELOR,,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$7 000 TO 7 999
Veterinary assistants and laboratory animal caretakers,0.0,26.0,16.0,,11.0,HIGH SCHOOL,,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$20000 TO 22499
Elementary and middle school teachers,2.0,45.0,18.0,14.0,12.0,GRADUATE,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,4.0,SLIGHTLY LIBERAL,$110000 OR OVER
"Office and administrative support workers, all other",3.0,40.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,SLIGHTLY LIBERAL,$15000 TO 17499
Elementary and middle school teachers,2.0,31.0,16.0,20.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$25000 TO 29999
Special education teachers,2.0,33.0,18.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,W. SOU. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$12500 TO 14999
Physical therapists,1.0,30.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$40000 TO 49999
Medical and health services managers,3.0,44.0,14.0,,,JUNIOR COLLEGE,,,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",W. SOU. CENTRAL,OTHER,,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$20000 TO 22499
"Sales representatives,  wholesale and manufacturing",3.0,21.0,14.0,14.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$1 000 TO 2 999
Secretaries and administrative assistants,2.0,35.0,16.0,20.0,13.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,4.0,LIBERAL,$35000 TO 39999
"Therapists, all other",1.0,37.0,18.0,,14.0,GRADUATE,,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,3.0,MODERATE,$35000 TO 39999
Librarians,1.0,40.0,17.0,8.0,12.0,GRADUATE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$1 000 TO 2 999
Machinists,1.0,26.0,14.0,,16.0,JUNIOR COLLEGE,,BACHELOR,,,,,,MALE,WHITE,"COUNTRY,NONFARM",W. NOR. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,,$22500 TO 24999
Construction laborers,1.0,27.0,16.0,16.0,14.0,HIGH SCHOOL,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,$15000 TO 17499
Dental hygienists,1.0,31.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,MOUNTAIN,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
Food service managers,5.0,37.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,MOUNTAIN,MOTHER & FATHER,,,YES,BOTH IN U.S,1.0,CONSERVATIVE,$25000 TO 29999
Police and sheriff's patrol officers,0.0,36.0,15.0,16.0,12.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,,,,,,MALE,OTHER,50000 TO 250000,MOUNTAIN,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,MODERATE,$50000 TO 59999
"Claims adjusters, appraisers, examiners, and investigators",2.0,36.0,16.0,12.0,18.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,MALE,BLACK,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$50000 TO 59999
Food service managers,2.0,32.0,15.0,16.0,16.0,JUNIOR COLLEGE,BACHELOR,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
"Bookkeeping, accounting, and auditing clerks",4.0,26.0,16.0,14.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$17500 TO 19999
First-line supervisors of food preparation and serving workers,3.0,35.0,16.0,20.0,12.0,JUNIOR COLLEGE,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,,LIBERAL,$30000 TO 34999
"Production workers, all other",1.0,44.0,16.0,16.0,16.0,HIGH SCHOOL,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,,LIBERAL,$10000 TO 12499
Financial managers,1.0,39.0,17.0,9.0,11.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",NEW ENGLAND,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,LIBERAL,$30000 TO 34999
"Food servers, nonrestaurant",3.0,44.0,16.0,4.0,4.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,,$17500 TO 19999
"Engineering technicians, except drafters",8.0,44.0,15.0,9.0,9.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,BLACK,"COUNTRY,NONFARM",SOUTH ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$10000 TO 12499
Clergy,2.0,36.0,17.0,5.0,7.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,NO,,NO,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$25000 TO 29999
Telecommunications  line installers and repairers,2.0,26.0,16.0,14.0,12.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,NO,BOTH IN U.S,ALL IN U.S,MODERATE,$30000 TO 34999
"Office clerks, general",0.0,28.0,16.0,,12.0,HIGH SCHOOL,,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER,YES,,NO,MOTHER ONLY,1.0,CONSERVATIVE,$15000 TO 17499
Chief executives,4.0,44.0,18.0,16.0,12.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$110000 OR OVER
Waiters and waitresses,2.0,23.0,16.0,18.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$10000 TO 12499
Personal financial advisors,1.0,31.0,16.0,16.0,15.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,NO,,NO,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$25000 TO 29999
Elementary and middle school teachers,2.0,31.0,18.0,14.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,2.0,EXTREMELY LIBERAL,$3 000 TO 3 999
Elementary and middle school teachers,1.0,31.0,16.0,14.0,16.0,BACHELOR,JUNIOR COLLEGE,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,2.0,MODERATE,$4 000 TO 4 999
Licensed practical and licensed vocational nurses,5.0,31.0,14.0,11.0,16.0,JUNIOR COLLEGE,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,4.0,MODERATE,$10000 TO 12499
Secondary school teachers,3.0,45.0,17.0,16.0,14.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,FARM,W. SOU. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,,CONSERVATIVE,$40000 TO 49999
Management analysts,4.0,39.0,16.0,18.0,14.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,UNDER $1 000
Private detectives and investigators,3.0,30.0,16.0,9.0,12.0,BACHELOR,,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,W. SOU. CENTRAL,M AND F RELATIVES,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$30000 TO 34999
Sewing machine operators,5.0,44.0,13.0,,8.0,JUNIOR COLLEGE,,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,SOUTH ATLANTIC,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$25000 TO 29999
First-line supervisors of retail sales workers,4.0,41.0,16.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,MALE,WHITE,FARM,SOUTH ATLANTIC,MOTHER,YES,,YES,NEITHER IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$25000 TO 29999
Chemical engineers,1.0,38.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,3.0,CONSERVATIVE,$60000 TO 74999
"Musicians, singers, and related workers",8.0,35.0,18.0,12.0,12.0,BACHELOR,,,,,,,,MALE,WHITE,"COUNTRY,NONFARM",SOUTH ATLANTIC,MOTHER & STPFATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$10000 TO 12499
"Athletes, coaches, umpires, and related workers",2.0,27.0,16.0,18.0,18.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,MOTHER ONLY,2.0,LIBERAL,$17500 TO 19999
Education administrators,3.0,42.0,14.0,,8.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$75000 TO $89999
"Counter attendants, cafeteria, food concession, and coffee shop",1.0,26.0,18.0,13.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$8 000 TO 9 999
"Office and administrative support workers, all other",4.0,43.0,19.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$30000 TO 34999
Producers and directors,2.0,44.0,16.0,20.0,20.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,1.0,CONSERVATIVE,$40000 TO 49999
Electrical and electronics engineers,1.0,39.0,15.0,13.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,4.0,CONSERVATIVE,$90000 - $109999
Secondary school teachers,1.0,35.0,16.0,12.0,,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$10000 TO 12499
Technical writers,3.0,35.0,16.0,16.0,14.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,50000 TO 250000,MOUNTAIN,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$35000 TO 39999
Postsecondary teachers,4.0,39.0,20.0,16.0,18.0,GRADUATE,BACHELOR,GRADUATE,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$10000 TO 12499
Market research analysts and marketing specialists,3.0,28.0,18.0,,18.0,GRADUATE,,GRADUATE,,,,,,FEMALE,WHITE,CITY GT 250000,SOUTH ATLANTIC,MOTHER,YES,,NO,MOTHER ONLY,2.0,MODERATE,$50000 TO 59999
"Bailiffs, correctional officers, and jailers",4.0,40.0,15.0,12.0,16.0,JUNIOR COLLEGE,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$12500 TO 14999
"Architects, except naval",2.0,41.0,17.0,16.0,14.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$50000 TO 59999
"Laborers and freight, stock, and material movers, hand",1.0,41.0,14.0,,14.0,JUNIOR COLLEGE,,JUNIOR COLLEGE,,,,,,MALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$25000 TO 29999
Accountants and auditors,1.0,37.0,15.0,16.0,15.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,MODERATE,$5 000 TO 5 999
"Managers, all other",3.0,27.0,16.0,16.0,14.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
Private detectives and investigators,1.0,42.0,14.0,12.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,FARM,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
Registered nurses,5.0,36.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$10000 TO 12499
Social workers,1.0,26.0,18.0,12.0,16.0,GRADUATE,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,,YES,MOTHER ONLY,2.0,LIBERAL,$40000 TO 49999
Security guards and gaming surveillance officers,3.0,25.0,14.0,14.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,50000 TO 250000,PACIFIC,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,MODERATE,$12500 TO 14999
Security guards and gaming surveillance officers,1.0,39.0,16.0,18.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,,YES,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$15000 TO 17499
Secretaries and administrative assistants,4.0,34.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,NEW ENGLAND,FEMALE RELATIVE,YES,,YES,MOTHER ONLY,4.0,SLIGHTLY LIBERAL,$30000 TO 34999
Registered nurses,2.0,36.0,14.0,8.0,14.0,JUNIOR COLLEGE,LT HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,2.0,MODERATE,$30000 TO 34999
Network and computer systems administrators,7.0,40.0,14.0,6.0,2.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,OTHER,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,NO,,NO,NEITHER IN U.S,4.0,MODERATE,$35000 TO 39999
Lawyers,1.0,40.0,20.0,20.0,14.0,GRADUATE,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$90000 - $109999
First-line supervisors of correctional officers,4.0,33.0,14.0,3.0,6.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,OTHER,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,,SLIGHTLY LIBERAL,UNDER $1 000
Elementary and middle school teachers,3.0,42.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$3 000 TO 3 999
Food service managers,4.0,41.0,16.0,19.0,12.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MOUNTAIN,MOTHER & FATHER,NO,,YES,BOTH IN U.S,2.0,CONSERVATIVE,$5 000 TO 5 999
"Sales representatives, services, all other",11.0,43.0,16.0,14.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,OTHER,BIG-CITY SUBURB,PACIFIC,MOTHER & STPFATHER,YES,,YES,NEITHER IN U.S,4.0,MODERATE,$75000 TO $89999
"Sales representatives, services, all other",1.0,30.0,16.0,18.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$1 000 TO 2 999
Artists and related workers,1.0,32.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,2.0,CONSERVATIVE,$3 000 TO 3 999
Paralegals and legal assistants,2.0,37.0,14.0,14.0,14.0,JUNIOR COLLEGE,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,,YES,FATHER ONLY,4.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
Accountants and auditors,9.0,45.0,18.0,16.0,14.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,NO,,YES,BOTH IN U.S,2.0,CONSERVATIVE,$60000 TO 74999
Miscellaneous assemblers and fabricators,1.0,44.0,14.0,14.0,,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,,MALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,FATHER,,,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$40000 TO 49999
"Inspectors, testers, sorters, samplers, and weighers",2.0,22.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$20000 TO 22499
"Pipelayers, plumbers, pipefitters, and steamfitters",3.0,25.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
Cleaners of vehicles and equipment,1.0,32.0,17.0,18.0,13.0,HIGH SCHOOL,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$30000 TO 34999
Secretaries and administrative assistants,4.0,25.0,16.0,20.0,12.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,NO,,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$17500 TO 19999
Medical records and health information technicians,2.0,24.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,MOTHER & FATHER,YES,,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$8 000 TO 9 999
